[{'measurement': 'enviro', 'fields': {'temperature': 33.09623658021449, 'pressure': 1009.9005288360962, 'humidity': 23.100986287789382, 'pm_1': 329, 'pm_2.5': 647, 'pm_10': 723}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.07344439617309, 'pressure': 1009.906073975885, 'humidity': 23.120069436896774, 'pm_1': 329, 'pm_2.5': 647, 'pm_10': 723}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.12833825759865, 'pressure': 1009.9098201126717, 'humidity': 23.045311351579233, 'pm_1': 329, 'pm_2.5': 647, 'pm_10': 723}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.34020961346071, 'pressure': 1009.9228795560832, 'humidity': 22.541260265558122, 'pm_1': 333, 'pm_2.5': 654, 'pm_10': 734}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.16557621760696, 'pressure': 1009.9098440194123, 'humidity': 22.669736613326997, 'pm_1': 333, 'pm_2.5': 654, 'pm_10': 734}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.19831995370225, 'pressure': 1009.9044441708118, 'humidity': 22.668276273540368, 'pm_1': 333, 'pm_2.5': 654, 'pm_10': 734}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.441009189945746, 'pressure': 1009.9036988735442, 'humidity': 22.48240839670419, 'pm_1': 336, 'pm_2.5': 653, 'pm_10': 736}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.28692071067546, 'pressure': 1009.9060294432021, 'humidity': 22.64622252551535, 'pm_1': 336, 'pm_2.5': 653, 'pm_10': 736}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.08564302917257, 'pressure': 1009.8958566919694, 'humidity': 22.97481834698821, 'pm_1': 336, 'pm_2.5': 653, 'pm_10': 736}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.917430445202626, 'pressure': 1009.9033487892098, 'humidity': 23.32576708565437, 'pm_1': 341, 'pm_2.5': 658, 'pm_10': 746}}]
